2017-06-14 12:14:18.5631|CorrelationId=| ApiGateway |DEBUG|Microsoft.AspNetCore.Hosting.Internal.WebHost|Hosting starting 
2017-06-14 12:14:19.2060|CorrelationId=| ApiGateway |DEBUG|Microsoft.AspNetCore.Hosting.Internal.WebHost|Hosting started 
2017-06-14 12:14:47.0933|CorrelationId=| ApiGateway |DEBUG|Microsoft.AspNetCore.Server.Kestrel|Connection id "0HL5J0N6OAFM5" started. 
2017-06-14 12:14:47.4398|CorrelationId=| ApiGateway |INFO|Microsoft.AspNetCore.Hosting.Internal.WebHost|Request starting HTTP/1.1 GET http://localhost:5005/   
2017-06-14 12:14:47.5331|CorrelationId=| ApiGateway |DEBUG|Microsoft.AspNetCore.StaticFiles.StaticFileMiddleware|The request path / does not match a supported file type 
2017-06-14 12:14:48.3276|CorrelationId=6076ff14-d3af-4a13-93a2-144c0236374f| ApiGateway |DEBUG|Microsoft.AspNetCore.Routing.RouteBase|Request successfully matched the route with name 'default' and template '{controller=Dashboard}/{action=Index}/{id?}'. 
2017-06-14 12:14:48.6116|CorrelationId=6076ff14-d3af-4a13-93a2-144c0236374f| ApiGateway |DEBUG|Microsoft.AspNetCore.Mvc.Internal.ControllerActionInvoker|Executing action ApiGateway.Controllers.DashboardController.Index (ApiGateway) 
2017-06-14 12:14:48.8784|CorrelationId=6076ff14-d3af-4a13-93a2-144c0236374f| ApiGateway |INFO|Microsoft.AspNetCore.Mvc.Internal.ControllerActionInvoker|Executing action method ApiGateway.Controllers.DashboardController.Index (ApiGateway) with arguments ((null)) - ModelState is Valid 
2017-06-14 12:14:48.9150|CorrelationId=6076ff14-d3af-4a13-93a2-144c0236374f| ApiGateway |DEBUG|Microsoft.AspNetCore.Mvc.Internal.ControllerActionInvoker|Executed action method ApiGateway.Controllers.DashboardController.Index (ApiGateway), returned result Microsoft.AspNetCore.Mvc.ViewResult. 
2017-06-14 12:14:49.4428|CorrelationId=6076ff14-d3af-4a13-93a2-144c0236374f| ApiGateway |DEBUG|Microsoft.AspNetCore.Mvc.Razor.RazorViewEngine|View lookup cache miss for view 'Index' in controller 'Dashboard'. 
2017-06-14 12:14:49.5406|CorrelationId=6076ff14-d3af-4a13-93a2-144c0236374f| ApiGateway |DEBUG|Microsoft.AspNetCore.Mvc.Razor.Internal.RazorCompilationService|Code generation for the Razor file at '/Views/Dashboard/Index.cshtml' started. 
2017-06-14 12:14:52.1751|CorrelationId=6076ff14-d3af-4a13-93a2-144c0236374f| ApiGateway |DEBUG|Microsoft.AspNetCore.Mvc.Razor.Internal.RazorCompilationService|Code generation for the Razor file at '/Views/Dashboard/Index.cshtml' completed in 2629.2841ms. 
2017-06-14 12:14:52.4501|CorrelationId=6076ff14-d3af-4a13-93a2-144c0236374f| ApiGateway |DEBUG|Microsoft.AspNetCore.Mvc.Razor.Internal.DefaultRoslynCompilationService|Compilation of the generated code for the Razor file at '/Views/Dashboard/Index.cshtml' started. 
2017-06-14 12:14:58.0370|CorrelationId=6076ff14-d3af-4a13-93a2-144c0236374f| ApiGateway |DEBUG|Microsoft.AspNetCore.Mvc.Razor.Internal.DefaultRoslynCompilationService|Compilation of the generated code for the Razor file at '/Views/Dashboard/Index.cshtml' completed in 5585.8632ms. 
2017-06-14 12:14:58.0755|CorrelationId=6076ff14-d3af-4a13-93a2-144c0236374f| ApiGateway |DEBUG|Microsoft.AspNetCore.Mvc.Razor.Internal.RazorCompilationService|Code generation for the Razor file at '/Views/_ViewStart.cshtml' started. 
2017-06-14 12:14:58.0896|CorrelationId=6076ff14-d3af-4a13-93a2-144c0236374f| ApiGateway |DEBUG|Microsoft.AspNetCore.Mvc.Razor.Internal.RazorCompilationService|Code generation for the Razor file at '/Views/_ViewStart.cshtml' completed in 8.9754ms. 
